RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
659,Innovando,51.7,Italy,Waste Management & recycling,21400228,6135678,22,9,2014
660,MTM Ruhrzinn,51.6,Germany,Waste Management & recycling,12422914,3562540,16,14,2014
661,MissPompadour,51.6,Germany,Ecommerce,12498000,3589000,83,11,2019
662,WebMakers Software House,51.5,Poland,IT & Software,1874721,512846,35,21,2010
663,Sames Solar,51.5,Germany,Construction & Engineering,5786184,1664669,14,3,2009
664,Skylabs,51.5,Italy,IT & Software,7659105,2203721,104,48,2015
665,BeMSP,51.2,France,IT & Software,7565377,2188815,20,10,2014
666,Linnify,51.1,Romania,IT & Software,2021131,585577,37,17,2016
667,Business Changers,51.1,Italy,IT & Software,10285425,2981722,106,60,2012
668,CottonBee,51.1,Poland,Ecommerce,3044195,840092,25,14,2011
669,Beratung Wink,51,Germany,Energy & Utilities,5631132,1634461,21,20,1998
670,Techspert,51,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",4711778,1326371,67,44,2015
671,Anthesis Group,50.8,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",121683966,34363090,1237,422,2013
672,MSS ELECTRONICS,50.5,Greece,IT & Software,5183515,1520586,19,15,2008
673,Hero Interim Professionals,50.5,"Netherlands, Kingdom of the","Professional, Scientific & Technical Services",120055420,35240801,74,30,2007
674,Temp.Akademie,50.4,Germany,Health Care & Life Sciences,1960564,575863,23,8,2015
675,Thingsdata,50.4,"Netherlands, Kingdom of the",IT & Software,2194903,644793,10,3,2016
676,Stufe A Pellet Italia,50.2,Italy,Manufacturing,12198182,3598049,40,25,2013
677,Molenaar&Plasman Solutions,50.2,"Netherlands, Kingdom of the",Management consulting,1913885,564766,14,6,2009
678,Gest Project General Contractor,50.2,Italy,Construction & Engineering,10938098,3228581,12,11,2002
679,Mortier & Co,50,France,Management consulting,3430000,1017000,20,8,2016
680,L'evoluzione del pulito,50,Italy,Health Care & Life Sciences,14768224,4379938,578,219,2016
681,Clos & Monopole,49.9,France,Wholesale,3407727,1010915,12,3,2017
682,Powering,49.9,Italy,Mechanical & Plant Engineering,73891996,21933936,40,42,2011
