RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
315,EGT-Wirth,86.9,Germany,Construction & Engineering,6799664,1040938,29,12,2018
316,Digitalisim,86.9,France,Media & Telecommunications,1559386,238976,18,2,2020
317,Bonum,86.6,Italy,Wholesale,7406974,1140776,36,11,2000
318,Scalizer,86.4,France,IT & Software,1526826,235671,20,1,2019
319,IOVES,86.2,Italy,Apparel & Fashion,13308582,2061524,29,23,1950
320,Casta Diva Group,85.7,Italy,Advertising & Marketing,111506678,17411446,116,79,2000
321,The Longevity Suite,85.5,Italy,Health Care & Life Sciences,9237593,1446290,62,3,2019
322,Cohabs,85.5,Belgium,Real Estate,9890000,1550264,58,15,2016
323,NEWU,85.3,Italy,Advertising & Marketing,1957316,307552,8,2,2019
324,Auxolar,85.3,Germany,Energy & Utilities,3360151,528297,18,11,2018
325,G.R. Costruzioni,84.7,Italy,Construction & Engineering,4993239,792583,31,16,2018
326,CCL Components,84.6,United Kingdom of Great Britain and Northern Ireland,Wholesale,162727759,25075847,60,24,1997
327,Elettro A.M.,84.5,Italy,Manufacturing,7574789,1206408,18,14,2006
328,GUSTO,84.3,France,Food & Beverages,23562599,3763676,49,16,2012
329,Acri Ingenierie,84.2,France,Mechanical & Plant Engineering,4724104,755482,15,7,2012
330,CR Payroll,84.2,Ireland,"Fintech, Financial Services & Insurance",3430698,548648,44,13,2018
331,Words + Pixels,84.2,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,2100366,325618,20,5,2020
332,AMX Consulting,84.1,Germany,IT & Software,8832667,1416696,22,5,2017
333,BSN Group,83.9,United Kingdom of Great Britain and Northern Ireland,Construction & Engineering,22765038,3544462,24,8,2018
334,Energynat,83.8,Poland,Wholesale,85079093,13026151,28,21,2010
335,Valumen,83.8,France,Employment Services,13645994,2196424,11,4,2015
336,GT Classic Cars,83.7,France,Automotive,18716832,3020112,10,0,2012
337,BAURIX,83.5,Germany,Ecommerce,3432146,555099,1,1,2018
338,Requtech,83.4,Sweden,Media & Telecommunications,2924615,525583,12,2,2009
339,Southenergy,83,Italy,Energy & Utilities,4658710,759652,19,9,2008
340,Baroni Home,83,Italy,Ecommerce,9378339,1531358,1,1,2016
341,Prodivi,82.6,Lithuania,IT & Software,1787007,293747,57,15,2017
342,Ecologia Sannita,82.4,Italy,Waste Management & recycling,3030310,499585,15,4,2018
343,Speri,82.3,Italy,Construction & Engineering,40615375,6704220,49,14,1974
344,Consorzio Artea,82.2,Italy,Construction & Engineering,11136700,1840227,4,3,2003
345,Sprintform,81.9,Hungary,IT & Software,1563141,259551,19,1,2019
346,LeHibou,81.9,France,IT & Software,82975172,13782256,69,18,2017
347,POM,81.6,Belgium,"Fintech, Financial Services & Insurance",3466441,578750,15,9,2014
348,SCHMABO,81.5,Germany,Construction & Engineering,7350000,1230000,29,5,2010
349,Aubert & Mathieu,81.4,France,Food & Beverages,1555717,260568,3,1,2018
350,Crea Energia,81.4,Italy,Energy & Utilities,9302358,1559333,24,13,2010
351,ANTARES ENERGIA,81.2,Italy,Energy & Utilities,18986626,3189708,12,7,2013
352,Brocchetta,80.9,Italy,Food & Beverages,2242371,378558,14,11,2019
353,Master Group,80.9,Italy,Media & Telecommunications,20970465,3540811,85,6,2015
354,Soplaya,80.5,Italy,Food & Beverages,7502908,1274945,46,16,2017
355,Tedee,80.3,Poland,IT & Software,3948415,640563,41,18,2018
356,Insuvia,80.2,Lithuania,"Professional, Scientific & Technical Services",3487119,595534,45,29,2014
357,Bumper,80.2,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",13993705,2317730,67,13,2013
358,Golf Travel Group,80.1,United Kingdom of Great Britain and Northern Ireland,Hospitality & Travel,19038022,3158806,24,8,2015
359,INIX Group Italia,79.9,Italy,IT & Software,3326317,570915,24,5,2018
360,CrazyGames,79.9,Belgium,IT & Software,16880667,2897374,26,7,2014
361,Kochan Gerüstbau,79.9,Germany,Construction & Engineering,7334000,1259000,27,21,2014
362,Stravito,79.9,Sweden,IT & Software,8592678,1635104,80,40,2017
363,Aton Green Storage,79.8,Italy,Mechanical & Plant Engineering,41855096,7197495,57,27,2014
364,Alliance des Énergies,79.8,France,Energy & Utilities,15121568,2602872,35,10,2020
365,Teamservice,79.6,Italy,IT & Software,11355909,1958961,35,20,1999
366,Dynisma,79.4,United Kingdom of Great Britain and Northern Ireland,Automotive,13900504,2332201,48,8,2017
367,Cormatex,79.3,Italy,Mechanical & Plant Engineering,18849660,3268576,29,23,1973
368,4Energy,79.2,Italy,"Professional, Scientific & Technical Services",6439298,1118339,5,1,2014
369,Kahoot!,79.1,Norway,IT & Software,152686380,23975900,463,184,2011
370,U.G.A. Nutraceuticals,79,Italy,Pharmaceuticals & Cosmetics,33712985,5877966,16,10,2005
371,Branchspace,78.9,United Kingdom of Great Britain and Northern Ireland,IT & Software,5896435,997436,68,15,2011
372,Evondos Group,78.7,Finland,Health Care & Life Sciences,41390535,7251923,319,98,2020
373,Dronivo,78.4,Germany,Electrical Manufacturing,4500000,793000,20,5,2017
374,Jeton,78.3,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",33020189,5641929,55,6,2018
375,KoRo,78.2,Germany,Food & Beverages,117262286,20708941,285,30,2014
376,Percinque,78.2,Italy,Management consulting,4242768,749760,2,3,2012
377,Energetic Efficiency,78.2,Italy,Construction & Engineering,7612672,1345893,22,12,2010
378,SnackLab,78.1,Poland,Food & Beverages,1690542,284902,13,4,2020
379,Airteam,77.9,Germany,IT & Software,1887000,335000,27,4,2018
380,Studio Ekó,77.9,Italy,Construction & Engineering,8350471,1483625,20,8,2011
381,Secret View,77.8,"Netherlands, Kingdom of the",Retail,2173757,386689,24,12,2015
382,BuyAssociation,77.7,United Kingdom of Great Britain and Northern Ireland,Real Estate,4777466,825058,17,7,2017
383,Seeders,77.6,"Netherlands, Kingdom of the",Advertising & Marketing,12837349,2292643,59,19,2012
384,Atyos,77.5,France,IT & Software,2185081,390534,19,4,2018
385,Sparklers Club,77.2,France,Retail,7031003,1262650,20,8,2015
386,Power of your building,76.5,Italy,Construction & Engineering,4001301,727198,21,14,2007
387,Cyclamen,76.3,France,Waste Management & recycling,18805137,3433204,49,20,2013
388,Opencast,76.2,United Kingdom of Great Britain and Northern Ireland,IT & Software,57603055,10192635,431,117,2012
389,MK Group,76.2,Germany,Construction & Engineering,9877274,1805905,88,17,2017
390,Edileco,76,Italy,Construction & Engineering,32442558,5948503,118,50,2005
391,Phyron,76,Sweden,IT & Software,3762953,764575,34,7,2019
392,B.Conseil,75.9,France,Management consulting,5596584,1028601,49,7,2017
393,Vanaways,75.9,United Kingdom of Great Britain and Northern Ireland,Automotive,126175358,22466579,58,11,2015
394,PaperDigits,75.8,"Netherlands, Kingdom of the",Advertising & Marketing,1872332,344615,18,5,2019
395,gravity9,75.7,United Kingdom of Great Britain and Northern Ireland,IT & Software,12346734,2205565,100,31,2017
396,Obiz,75.5,France,Advertising & Marketing,83110752,15377128,107,34,2011
397,Hochwald Automobile,75.3,Germany,Automotive,6500000,1206000,6,3,2012
398,Solutions Composites,75.3,France,Mechanical & Plant Engineering,11634990,2161110,35,23,1998
399,Blu Appalti,75.1,Italy,Construction & Engineering,9532033,1774971,35,13,2010
400,Holie's,75,"Netherlands, Kingdom of the",Food & Beverages,7703766,1436859,8,3,2018
401,Multevo,74.9,United Kingdom of Great Britain and Northern Ireland,Construction & Engineering,30967467,5608720,220,52,2010
402,ACBC,74.7,Italy,Apparel & Fashion,12220978,2290239,14,11,2017
403,Di Remigio Costruzioni,74.7,Italy,Construction & Engineering,3790450,710638,23,9,2006
404,221e Srl,74.6,Italy,IT & Software,2000697,375661,15,9,2012
405,VST Fire Solutions,74.4,"Netherlands, Kingdom of the",Construction & Engineering,23086738,4351152,5,4,2019
406,Fluentbe,74.4,Poland,Education & Social Services,5157619,925206,434,111,2015
407,Printeers,74.4,"Netherlands, Kingdom of the",Ecommerce,3096021,583991,15,3,2009
408,DASH Water,74.3,United Kingdom of Great Britain and Northern Ireland,Food & Beverages,14056991,2570031,26,9,2017
409,Grizzly New Marketing,74.3,Belgium,Advertising & Marketing,4236602,799755,47,19,2010
410,BitQ,74.1,Italy,IT & Software,11691357,2215226,17,7,2006
411,Edilenergia,74.1,Italy,Construction & Engineering,9801201,1858074,43,16,2018
412,Indigo Independent Governance,74,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",1525618,280475,10,4,2005
413,PetroSol,73.7,Romania,IT & Software,1584629,302187,8,6,2014
414,Seats.io,73.3,Belgium,IT & Software,3781043,725884,6,4,2014
415,Feedgy,73.2,France,Energy & Utilities,14011626,2698799,38,14,2014
416,OSMOSUN,73.1,France,Waste Management & recycling,3002794,578481,25,18,2014
417,FLOK AG,73.1,Switzerland,Hospitality & Travel,3343851,553338,19,11,2016
418,CreationDose,72.9,Italy,Advertising & Marketing,2077839,402155,43,14,2018
419,Kolsquare,72.8,France,IT & Software,6313069,1224397,39,24,2010
420,Domum-Bau,72.7,Germany,Construction & Engineering,8930388,1733051,12,8,2017
421,Reos,72.7,Germany,Real Estate,5632739,1093801,84,26,2017
422,Garaude,72.5,France,Wholesale,20772307,4047467,13,7,1995
423,Ondato,72.4,Lithuania,"Fintech, Financial Services & Insurance",6638000,1295000,149,34,2014
424,Isoterma,72.3,Italy,Construction & Engineering,28320067,5538171,37,19,2014
425,Groupe Roy Énergie,71.9,France,Energy & Utilities,26071053,5136408,106,31,2016
426,Green Creative,71.7,France,Manufacturing,6187627,1221854,17,13,2010
427,Smart Eventi,71.3,Italy,Advertising & Marketing,4453086,885332,16,10,2010
428,Greenovative,71.3,Germany,Energy & Utilities,96793000,19253000,83,19,2013
429,Bluewave,71.3,"Netherlands, Kingdom of the",Advertising & Marketing,5821506,1159000,14,8,2018
430,SP Group,71.2,Italy,Construction & Engineering,21741211,4331470,29,29,2017
431,Continest,70.8,Hungary,Manufacturing,10669310,2263411,73,14,2019
432,Mare20,70.8,Italy,Hospitality & Travel,4794843,962726,7,7,2017
433,ProjektBauer,70.6,Switzerland,Advertising & Marketing,1553624,268758,8,3,2018
434,Italiana Facility Management,70.6,Italy,Energy & Utilities,36465304,7349393,254,310,2018
435,Ninesquared,70.3,Italy,Apparel & Fashion,1938949,392698,5,1,2017
436,HNH Hospitality,70.2,Italy,Hospitality & Travel,105763529,21435005,625,306,2010
437,Giganci Programowania,70.1,Poland,Education & Social Services,4686213,906400,34,10,2017
438,Pinsami,70.1,Italy,Food & Beverages,24060321,4892052,127,50,2015
439,Ebbot,70.1,Sweden,IT & Software,1642322,370085,26,7,2018
440,Cianciolo Group,69.9,Italy,Manufacturing,15117225,3082429,55,42,2012
441,Englputzeder,69.6,Austria,Ecommerce,27678600,5675000,26,5,2013
442,andrea,69.5,Italy,Construction & Engineering,4848452,995754,10,3,2016
443,SIKURO,68.7,Italy,IT & Software,1972552,411000,14,4,2017
444,Happy Team,68.6,Poland,IT & Software,3959125,785390,68,20,2015
445,Gesco,68.6,Italy,Energy & Utilities,27790642,5798153,51,30,2006
446,Noah Maritime,68.4,Germany,Logistics & Transportation,2101236,440081,21,9,2019
447,Elektro Knaak,68.3,Germany,Construction & Engineering,7971737,1671037,51,32,2017
448,DanAds,68,Sweden,Advertising & Marketing,14621635,3416391,160,90,2013
449,ChapsVision,67.9,France,IT & Software,107741000,22744000,542,220,2019
450,INNPRO,67.7,Poland,Wholesale,153609030,30965405,280,69,2013
451,Clear Junction,67.7,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",19946459,4232298,101,88,2016
452,Landbay,67.4,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",43466930,8980492,148,90,2013
453,Lakogep,67.2,Hungary,Construction & Engineering,111968081,25332560,44,23,2011
454,Jungle,67.1,Italy,Advertising & Marketing,6244848,1339255,9,6,2009
455,Fokus IT,67,France,IT & Software,7277088,1561696,54,18,2019
456,Sparteo,66.9,France,Advertising & Marketing,21538342,4630019,74,34,2016
457,eViso,66.9,Italy,IT & Software,225665906,48567777,54,33,2012
458,Midsummer Energy,66.7,United Kingdom of Great Britain and Northern Ireland,Wholesale,118551389,24774129,91,24,2010
459,Pure Gaming,66.7,France,Ecommerce,32366480,6984956,8,2,2009
460,better decisions group,66.7,United Kingdom of Great Britain and Northern Ireland,IT & Software,2066372,432416,20,6,2013
461,Skills,66.6,Italy,Education & Social Services,4593791,993530,34,11,2013
462,B+S Bau und Sicherungsgesellschaft,66.5,Germany,Logistics & Transportation,50952760,11036559,284,115,2015
463,Laudevco,66.4,France,Wholesale,13080307,2837609,27,8,2015
464,Elettro D/E-Meraki,66.4,Italy,Energy & Utilities,4077232,884848,28,21,2003
465,TapNation,66.1,France,Leisure & Entertainment,47242391,10303461,40,20,2019
466,Suncity Group,66,Italy,Energy & Utilities,66278986,14490496,109,34,2012
467,HD Insurance,65.7,Cyprus,"Fintech, Financial Services & Insurance",168692903,37072866,268,190,2011
468,NúNú,65.6,Iceland,"Fintech, Financial Services & Insurance",2448139,519575,3,1,2020
469,Italiana Energia,65.4,Italy,Energy & Utilities,6906546,1525614,25,20,2016
470,Happily,65.4,Italy,"Professional, Scientific & Technical Services",1771696,391489,16,7,2017
471,Yapily,65.3,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",5829365,1249354,117,40,2017
472,Tappe Consulting,65.3,Germany,"Fintech, Financial Services & Insurance",1790829,396425,5,4,2015
473,PPC,65.1,Germany,Media & Telecommunications,65959050,14645874,88,77,2000
474,Storebox,65.1,Austria,Logistics & Transportation,11112684,2470961,71,45,2016
475,Immerse Education,65.1,United Kingdom of Great Britain and Northern Ireland,Education & Social Services,11460226,2468896,44,22,2012
476,C. Costruzioni Srl,65,Italy,Construction & Engineering,10009217,2226361,26,11,2012
477,Barberino's,64.9,Italy,Retail,4230262,943767,68,27,2015
478,Incipion,64.9,Germany,Construction & Engineering,11659218,2602015,36,24,2016
479,Dialectica,64.6,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",79265792,16044500,998,254,2015
480,GI Costruzioni,64.6,Italy,Construction & Engineering,27230205,6111337,27,17,2010
481,releva,64.5,Germany,Advertising & Marketing,3538359,794593,10,5,2015
482,weLOG,64.4,Germany,Logistics & Transportation,8889000,2000000,190,60,2019
483,VisMederi,64.3,Italy,Pharmaceuticals & Cosmetics,26540261,5984693,115,44,2009
484,FAE Technology,64.2,Italy,Manufacturing,64819321,14651289,168,96,1990
485,Sidly,64.1,Poland,Health Care & Life Sciences,2907505,626142,76,19,2014
486,Insoore,64,Italy,"Fintech, Financial Services & Insurance",3688684,835901,67,35,2015
487,Global Commissioning,63.9,United Kingdom of Great Britain and Northern Ireland,"Professional, Scientific & Technical Services",14508430,3190605,75,23,2019
488,Rifò,63.9,Italy,Apparel & Fashion,2846136,646928,19,2,2018
489,NRG MED,63.8,Italy,Energy & Utilities,15825434,3598495,71,30,2017
490,Lemonway,63.8,France,"Fintech, Financial Services & Insurance",32877495,7486373,125,84,2007
491,Lepaya,63.7,"Netherlands, Kingdom of the",IT & Software,21159285,4827461,244,187,2017
492,Auto-Center Stolberg,63.5,Germany,Automotive,6451768,1476256,7,2,2015
493,HF S.r.l. (Accaeffe Building Solutions),63.5,Italy,Construction & Engineering,7150798,1637232,19,8,2012
494,Skladon,63.4,Czechia,Logistics & Transportation,8293000,1788555,112,45,2015
495,Dreamix,63.4,Bulgaria,IT & Software,17966000,4121000,209,65,2006
496,ULAM LABS,63.3,Poland,IT & Software,3285588,717555,62,25,2016
497,Kecxwind,63.2,"Netherlands, Kingdom of the",Energy & Utilities,2783114,639804,22,6,2017
498,Ares,63.2,France,Energy & Utilities,26097060,6009294,65,63,2009
499,GT Company,63.1,France,Wholesale,43756205,10081901,42,14,2013
500,Digital Factory Telecom (DFT),63,France,IT & Software,2645793,610879,9,3,2020
501,TheOTCLab,63,"Netherlands, Kingdom of the",Pharmaceuticals & Cosmetics,5415339,1251304,7,2,2016
502,Kanalexperten Reitz,62.5,Germany,Construction & Engineering,7909806,1844021,40,10,2016
503,Mon courtier énergie,62.5,France,Energy & Utilities,21042000,4906609,184,102,2017
504,Italianway,62.3,Italy,Hospitality & Travel,11944000,2792288,119,59,2014
